"","SchoolID","SchoolName"
"204",609958,"GUNSAULUS"
"205",609959,"HAINES"
"206",609960,"HALE"
"207",609961,"HEROES"
"208",609963,"HAMILTON"
"209",609964,"HAMLINE"
"210",609966,"HAMMOND"
"211",609967,"FINKL"
"212",609968,"MCAULIFFE"
"213",609969,"HARTE"
"214",609971,"HARVARD"
"215",609972,"HAUGAN"
"216",609973,"ZAPATA"
"217",609974,"HAWTHORNE"
"218",609975,"HAY"
"219",609976,"HAYT"
"220",609977,"WOODLAWN"
"221",609978,"SMITH"
"222",609979,"HEALY"
"223",609981,"HEARST"
"224",609983,"HEDGES"
"225",609985,"HEFFERAN"
"226",609986,"HENDERSON"
"227",609987,"HENDRICKS"
"228",609988,"HENRY"
"229",609990,"SOUTH LOOP"
"230",609991,"HERZL"
"231",609993,"LARA"
"232",609994,"HIBBARD"
"233",609995,"HITCH"
"234",609996,"HOLDEN"
"235",609997,"HOLMES"
"236",610000,"HOWE"
"237",610002,"HOYNE"
"238",610003,"CUFFE"
"239",610004,"CULLEN"
"240",610005,"HUGHES"
"241",610006,"HURLEY"
"242",610009,"GALILEO"
"243",610010,"JAHN"
"244",610011,"JAMIESON"
"245",610012,"JENNER"
"246",610013,"PILSEN"
"247",610015,"JUNGMAN"
"248",610016,"KELLOGG"
"249",610017,"SAUCEDO"
"250",610018,"CANTER"
"251",610019,"KERSHAW"
"252",610021,"CASALS"
"253",610022,"KILMER"
"254",610024,"CARDENAS"
"255",610026,"KINZIE"
"256",610027,"KIPLING"
"257",610029,"LOZANO ES"
"258",610030,"KOZMINSKI"
"259",610032,"GREEN"
"260",610033,"LASALLE"
"261",610034,"LAWNDALE"
"262",610036,"LEWIS"
"263",610037,"LIBBY"
"264",610038,"LINCOLN"
"265",610039,"VON LINNE"
"266",610040,"LLOYD"
"267",610041,"LOCKE"
"268",610043,"LOVETT"
"269",610044,"LOWELL"
"270",610046,"LYON"
"271",610047,"MADISON"
"272",610048,"MANIERRE"
"273",610051,"NORTHWEST"
"274",610052,"MANN"
"275",610053,"MARQUETTE"
"276",610054,"MARSH"
"277",610055,"FARADAY"
"278",610056,"MASON"
"279",610057,"FAIRFIELD"
"280",610059,"MAYER"
"281",610060,"JACKSON"
"282",610062,"MCCLELLAN"
"283",610063,"MCCORMICK"
"284",610065,"TILL"
"285",610066,"MCDADE"
"286",610067,"MCKAY"
"287",610068,"HANSON PARK"
"288",610070,"MCPHERSON"
"289",610073,"MITCHELL"
"290",610074,"MONROE"
"291",610075,"MONTEFIORE"
"292",610076,"MOOS"
"293",610077,"MORRILL"
"294",610078,"INTER-AMERICAN"
"295",610081,"SHERIDAN"
"296",610082,"MOUNT GREENWOOD"
"297",610083,"BEARD"
"298",610084,"KELLER"
"299",610086,"MOUNT VERNON"
"300",610087,"BLAIR"
"301",610088,"MOZART"
"302",610089,"MURPHY"
"303",610090,"MURRAY"
"304",610091,"BROWN"
"305",610092,"NASH"
"306",610093,"NEIL"
"307",610094,"NETTELHORST"
"308",610095,"NEWBERRY"
"309",610096,"NIGHTINGALE"
"310",610097,"NIXON"
"311",610098,"NOBEL"
"312",610099,"NORWOOD PARK"
"313",610100,"WEST PARK"
"314",610101,"OGDEN"
"315",610102,"OGLESBY"
"316",610103,"O\u0027KEEFFE"
"317",610104,"ONAHAN"
"318",610105,"ORIOLE PARK"
"319",610106,"PICCOLO"
"320",610107,"OTIS"
"321",610108,"O\u0027TOOLE"
"322",610109,"OWEN"
"323",610110,"WELLS"
"324",610111,"PALMER"
"325",610112,"PARKER"
"326",610115,"PARK MANOR"
"327",610116,"PARKSIDE"
"328",610117,"PASTEUR"
"329",610120,"PECK"
"330",610121,"IRVING"
"331",610122,"PEIRCE"
"332",610123,"PENN"
"333",610124,"WASHINGTON"
"334",610125,"RUIZ"
"335",610126,"PERSHING"
"336",610127,"PETERSON"
"337",610128,"GARVEY"
"338",610129,"PICKARD"
"339",610130,"PIRIE"
"340",610131,"PLAMONDON"
"341",610132,"POE"
"342",610133,"WARD"
"343",610135,"PORTAGE PARK"
"344",610136,"PRESCOTT"
"345",610137,"PRUSSING"
"346",610138,"PULASKI"
"347",610139,"PULLMAN"
"348",610141,"RAVENSWOOD"
"349",610142,"RAY"
"350",610143,"REAVIS"
"351",610144,"REILLY"
"352",610145,"REINBERG"
"353",610146,"REVERE"
"354",610147,"ROGERS"
"355",610148,"CHAVEZ"
"356",610152,"RUGGLES"
"357",610153,"RYDER"
"358",610155,"SAUGANASH"
"359",610157,"SAWYER"
"360",610158,"SAYRE"
"361",610159,"SCAMMON"
"362",610163,"STOCK"
"363",610165,"SCHUBERT"
"364",610167,"SEWARD"
"365",610170,"COLUMBIA EXPLORERS"
"366",610171,"MIRELES"
"367",610172,"SHERMAN"
"368",610173,"SHERWOOD"
"369",610174,"SHIELDS"
"370",610175,"SHOESMITH"
"371",610176,"SHOOP"
"372",610177,"SKINNER"
"373",610178,"SCHMID"
"374",610179,"SMYSER"
"375",610180,"SMYTH"
"376",610182,"SOLOMON"
"377",610183,"SPENCER TECH ACAD"
"378",610184,"SPRY"
"379",610185,"STEVENSON"
"380",610188,"DUNNE TECH ACAD"
"381",610191,"STONE"
"382",610192,"STOWE"
"383",610193,"NEW SULLIVAN"
"384",610194,"SUMNER"
"385",610195,"SUTHERLAND"
"386",610196,"SWIFT"
"387",610197,"TALCOTT"
"388",610198,"TAYLOR"
"389",610199,"COLEMON"
"390",610200,"THORP"
"391",610201,"THORP"
"392",610202,"TILTON"
"393",610203,"TONTI"
"394",610206,"TWAIN"
"395",610207,"VANDERPOEL"
"396",610208,"LAVIZZO"
"397",610209,"VOLTA"
"398",610212,"ALBANY PARK"
"399",610213,"WADSWORTH"
"400",610215,"MADERO"
"401",610216,"WALSH"
"402",610217,"WARD"
"403",610218,"WARREN"
"404",610219,"WASHINGTON"
"405",610220,"WATERS"
"406",610221,"WEBSTER"
"407",610223,"WENTWORTH"
"408",610225,"WHISTLER"
"409",610226,"SANDOVAL"
"410",610227,"WHITNEY"
"411",610228,"WHITTIER"
"412",610229,"PRITZKER"
"413",610230,"WILDWOOD"
"414",610231,"NATIONAL TEACHERS"
"415",610234,"YATES"
"416",610235,"YOUNG"
"417",610237,"BEETHOVEN"
"418",610238,"BOND"
"419",610239,"DALEY"
"420",610242,"BRENNEMANN"
"421",610244,"CLARK HS"
"422",610245,"DOUGLASS HS"
"423",610246,"BEASLEY"
"424",610248,"CHGO ACAD ES"
"425",610249,"TALMAN"
"426",610250,"SALAZAR"
"427",610251,"CATHER"
"428",610252,"DETT"
"429",610254,"DVORAK TECH ACAD"
"430",610256,"ROBINSON"
"431",610257,"MORTON"
"432",610263,"DULLES"
"433",610268,"ASHE"
"434",610269,"MCCUTCHEON"
"435",610271,"JENSEN"
"436",610274,"JOHNSON"
"437",610276,"MOLLISON"
"438",610279,"TANNER"
"439",610281,"POWELL"
"440",610282,"MCNAIR"
"441",610284,"NEW FIELD"
"442",610287,"ASHBURN"
"443",610290,"MAYS"
"444",610291,"LEE"
"445",610293,"MELODY"
"446",610295,"HIGGINS"
"447",610297,"SCHOOL OF LEADRSHP HS"
